127.0.0.1 - - [25/Oct/2014:16:42:11 +0530] "GET /minorProjectWithInder7thSem2/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:11 +0530] "GET /minorProjectWithInder7thSem2/css/test.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:11 +0530] "GET /minorProjectWithInder7thSem2/css/a.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:11 +0530] "GET /minorProjectWithInder7thSem2/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:15 +0530] "GET /minorProjectWithInder7thSem2/ HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:15 +0530] "GET /minorProjectWithInder7thSem2/css/a.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:15 +0530] "GET /minorProjectWithInder7thSem2/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:15 +0530] "GET /minorProjectWithInder7thSem2/css/test.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:15 +0530] "GET /minorProjectWithInder7thSem2/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:19 +0530] "GET /minorProjectWithInder7thSem2/ HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:19 +0530] "GET /minorProjectWithInder7thSem2/css/a.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:19 +0530] "GET /minorProjectWithInder7thSem2/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:19 +0530] "GET /minorProjectWithInder7thSem2/css/test.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:19 +0530] "GET /minorProjectWithInder7thSem2/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:20 +0530] "GET /minorProjectWithInder7thSem2/ HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:20 +0530] "GET /minorProjectWithInder7thSem2/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:20 +0530] "GET /minorProjectWithInder7thSem2/css/test.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:20 +0530] "GET /minorProjectWithInder7thSem2/css/a.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:20 +0530] "GET /minorProjectWithInder7thSem2/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:21 +0530] "GET /minorProjectWithInder7thSem2/ HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:21 +0530] "GET /minorProjectWithInder7thSem2/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:21 +0530] "GET /minorProjectWithInder7thSem2/css/a.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:21 +0530] "GET /minorProjectWithInder7thSem2/css/test.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:21 +0530] "GET /minorProjectWithInder7thSem2/js/bootstrap.min.js HTTP/1.1" 304 -
